L0,x,y,H0
2.0,0.0,0.0,0.9994199
1.0,0.0,0.0,0.6349013
1.0,0.0,1.0,0.754153
1.0,1.0,0.0,0.9994199
1.0,1.0,1.0,0.54810977
0.5,0.0,0.0,0.3300457
0.5,0.0,0.5,0.38911414
0.5,0.0,1.0,0.754153
0.5,0.0,1.5,0.53176427
0.5,0.5,0.0,0.3872924
0.5,0.5,0.5,0.46695805
0.5,0.5,1.0,0.5045371
0.5,0.5,1.5,0.564384
0.5,1.0,0.0,0.6612022
0.5,1.0,0.5,0.54292655
0.5,1.0,1.0,0.47057414
0.5,1.0,1.5,0.5422783
0.5,1.5,0.0,0.9770756
0.5,1.5,0.5,0.76002026
0.5,1.5,1.0,0.49729466
0.5,1.5,1.5,0.43772984
0.25,0.0,0.0,0.12404871
0.25,0.0,0.25,0.11510944
0.25,0.0,0.5,0.11727214
0.25,0.0,0.75,0.111154795
0.25,0.0,1.0,0.7351353
0.25,0.0,1.25,0.6584699
0.25,0.0,1.5,0.3088839
0.25,0.0,1.75,0.29820442
0.25,0.25,0.0,0.17064285
0.25,0.25,0.25,0.30893707
0.25,0.25,0.5,0.27306652
0.25,0.25,0.75,0.38625836
0.25,0.25,1.0,0.7254822
0.25,0.25,1.25,0.6108322
0.25,0.25,1.5,0.3296268
0.25,0.25,1.75,0.4933002
0.25,0.5,0.0,0.3872924
0.25,0.5,0.25,0.29071832
0.25,0.5,0.5,0.20241737
0.25,0.5,0.75,0.2604022
0.25,0.5,1.0,0.21211696
0.25,0.5,1.25,0.48683238
0.25,0.5,1.5,0.2209835
0.25,0.5,1.75,0.5131819
0.25,0.75,0.0,0.320498
0.25,0.75,0.25,0.29992533
0.25,0.75,0.5,0.3792293
0.25,0.75,0.75,0.44136167
0.25,0.75,1.0,0.37039113
0.25,0.75,1.25,0.22361231
0.25,0.75,1.5,0.24891114
0.25,0.75,1.75,0.4379065
0.25,1.0,0.0,0.54116344
0.25,1.0,0.25,0.42132998
0.25,1.0,0.5,0.3439865
0.25,1.0,0.75,0.27029204
0.25,1.0,1.0,0.4451847
0.25,1.0,1.25,0.4221866
0.25,1.0,1.5,0.17271662
0.25,1.0,1.75,0.54174566
0.25,1.25,0.0,0.6612022
0.25,1.25,0.25,0.2936859
0.25,1.25,0.5,0.422431
0.25,1.25,0.75,0.40129042
0.25,1.25,1.0,0.31888628
0.25,1.25,1.25,0.32688713
0.25,1.25,1.5,0.17810178
0.25,1.25,1.75,0.53626704
0.25,1.5,0.0,0.27828407
0.25,1.5,0.25,0.81929374
0.25,1.5,0.5,0.5677457
0.25,1.5,0.75,0.60713696
0.25,1.5,1.0,0.49375963
0.25,1.5,1.25,0.31539845
0.25,1.5,1.5,0.31855297
0.25,1.5,1.75,0.20991874
0.25,1.75,0.0,0.26605058
0.25,1.75,0.25,0.97055864
0.25,1.75,0.5,0.38088536
0.25,1.75,0.75,0.3955238
0.25,1.75,1.0,0.40905452
0.25,1.75,1.25,0.37857795
0.25,1.75,1.5,0.27636003
0.25,1.75,1.75,0.113616705
0.125,0.0,0.0,0.08282137
0.125,0.0,0.125,0.07616305
0.125,0.0,0.25,0.0744791
0.125,0.0,0.375,0.06468511
0.125,0.0,0.5,0.062015772
0.125,0.0,0.625,0.10177064
0.125,0.0,0.75,0.07284784
0.125,0.0,0.875,0.04006219
0.125,0.0,1.0,0.054180145
0.125,0.0,1.125,0.50466824
0.125,0.0,1.25,0.5593569
0.125,0.0,1.375,0.30973077
0.125,0.0,1.5,0.20927286
0.125,0.0,1.625,0.2884295
0.125,0.0,1.75,0.2362454
0.125,0.0,1.875,0.11227918
0.125,0.125,0.0,0.06796956
0.125,0.125,0.125,0.07815218
0.125,0.125,0.25,0.102669954
0.125,0.125,0.375,0.07269001
0.125,0.125,0.5,0.0965426
0.125,0.125,0.625,0.088186026
0.125,0.125,0.75,0.10038471
0.125,0.125,0.875,0.07837582
0.125,0.125,1.0,0.59811234
0.125,0.125,1.125,0.65636945
0.125,0.125,1.25,0.18411374
0.125,0.125,1.375,0.5258007
0.125,0.125,1.5,0.23542619
0.125,0.125,1.625,0.24150205
0.125,0.125,1.75,0.11274767
0.125,0.125,1.875,0.13669133
0.125,0.25,0.0,0.091428995
0.125,0.25,0.125,0.12125778
0.125,0.25,0.25,0.21786618
0.125,0.25,0.375,0.1686151
0.125,0.25,0.5,0.034677744
0.125,0.25,0.625,0.11061835
0.125,0.25,0.75,0.090987206
0.125,0.25,0.875,0.38089538
0.125,0.25,1.0,0.627573
0.125,0.25,1.125,0.180336
0.125,0.25,1.25,0.076483965
0.125,0.25,1.375,0.5559466
0.125,0.25,1.5,0.2509117
0.125,0.25,1.625,0.14222026
0.125,0.25,1.75,0.11384082
0.125,0.25,1.875,0.15060186
0.125,0.375,0.0,0.16796017
0.125,0.375,0.125,0.0930388
0.125,0.375,0.25,0.16869926
0.125,0.375,0.375,0.18311548
0.125,0.375,0.5,0.16643167
0.125,0.375,0.625,0.27484798
0.125,0.375,0.75,0.23759484
0.125,0.375,0.875,0.37458873
0.125,0.375,1.0,0.2044313
0.125,0.375,1.125,0.39197302
0.125,0.375,1.25,0.5421331
0.125,0.375,1.375,0.5350058
0.125,0.375,1.5,0.17573476
0.125,0.375,1.625,0.2209425
0.125,0.375,1.75,0.33872795
0.125,0.375,1.875,0.31902218
0.125,0.5,0.0,0.30502963
0.125,0.5,0.125,0.25620317
0.125,0.5,0.25,0.17413759
0.125,0.5,0.375,0.24404597
0.125,0.5,0.5,0.19786787
0.125,0.5,0.625,0.12953877
0.125,0.5,0.75,0.16379833
0.125,0.5,0.875,0.20975208
0.125,0.5,1.0,0.21211696
0.125,0.5,1.125,0.08919692
0.125,0.5,1.25,0.46214867
0.125,0.5,1.375,0.12428975
0.125,0.5,1.5,0.11500192
0.125,0.5,1.625,0.11600113
0.125,0.5,1.75,0.293329
0.125,0.5,1.875,0.31305194
0.125,0.625,0.0,0.13199973
0.125,0.625,0.125,0.33158755
0.125,0.625,0.25,0.14271355
0.125,0.625,0.375,0.18672824
0.125,0.625,0.5,0.1901474
0.125,0.625,0.625,0.13755608
0.125,0.625,0.75,0.2447753
0.125,0.625,0.875,0.13027477
0.125,0.625,1.0,0.12790251
0.125,0.625,1.125,0.05904579
0.125,0.625,1.25,0.18092537
0.125,0.625,1.375,0.08216882
0.125,0.625,1.5,0.22139025
0.125,0.625,1.625,0.2136755
0.125,0.625,1.75,0.14928436
0.125,0.625,1.875,0.4273405
0.125,0.75,0.0,0.2086587
0.125,0.75,0.125,0.2493105
0.125,0.75,0.25,0.12660742
0.125,0.75,0.375,0.27742815
0.125,0.75,0.5,0.214149
0.125,0.75,0.625,0.3765514
0.125,0.75,0.75,0.4029441
0.125,0.75,0.875,0.20777869
0.125,0.75,1.0,0.32766223
0.125,0.75,1.125,0.22885633
0.125,0.75,1.25,0.22290802
0.125,0.75,1.375,0.16963387
0.125,0.75,1.5,0.16061997
0.125,0.75,1.625,0.17881441
0.125,0.75,1.75,0.067305565
0.125,0.75,1.875,0.4379065
0.125,0.875,0.0,0.28067112
0.125,0.875,0.125,0.2043593
0.125,0.875,0.25,0.3417778
0.125,0.875,0.375,0.21437573
0.125,0.875,0.5,0.26150203
0.125,0.875,0.625,0.108201504
0.125,0.875,0.75,0.14527917
0.125,0.875,0.875,0.09935355
0.125,0.875,1.0,0.36909032
0.125,0.875,1.125,0.33921957
0.125,0.875,1.25,0.10253167
0.125,0.875,1.375,0.090991735
0.125,0.875,1.5,0.14971304
0.125,0.875,1.625,0.1158998
0.125,0.875,1.75,0.123203754
0.125,0.875,1.875,0.3815918
0.125,1.0,0.0,0.20364094
0.125,1.0,0.125,0.3929758
0.125,1.0,0.25,0.40003848
0.125,1.0,0.375,0.3336923
0.125,1.0,0.5,0.28561115
0.125,1.0,0.625,0.067439795
0.125,1.0,0.75,0.13644052
0.125,1.0,0.875,0.155648
0.125,1.0,1.0,0.09417987
0.125,1.0,1.125,0.43647885
0.125,1.0,1.25,0.4162228
0.125,1.0,1.375,0.17942715
0.125,1.0,1.5,0.040825844
0.125,1.0,1.625,0.16330624
0.125,1.0,1.75,0.21313858
0.125,1.0,1.875,0.4454701
0.125,1.125,0.0,0.351017
0.125,1.125,0.125,0.32420993
0.125,1.125,0.25,0.041875124
0.125,1.125,0.375,0.24923062
0.125,1.125,0.5,0.1268189
0.125,1.125,0.625,0.19233346
0.125,1.125,0.75,0.25686526
0.125,1.125,0.875,0.15475869
0.125,1.125,1.0,0.1640706
0.125,1.125,1.125,0.11270213
0.125,1.125,1.25,0.19518638
0.125,1.125,1.375,0.20177817
0.125,1.125,1.5,0.13456821
0.125,1.125,1.625,0.07795286
0.125,1.125,1.75,0.13783216
0.125,1.125,1.875,0.52394843
0.125,1.25,0.0,0.45376158
0.125,1.25,0.125,0.28200507
0.125,1.25,0.25,0.076828
0.125,1.25,0.375,0.14111257
0.125,1.25,0.5,0.19090748
0.125,1.25,0.625,0.2938609
0.125,1.25,0.75,0.33256626
0.125,1.25,0.875,0.091763735
0.125,1.25,1.0,0.14879751
0.125,1.25,1.125,0.22677302
0.125,1.25,1.25,0.086282015
0.125,1.25,1.375,0.12773514
0.125,1.25,1.5,0.14055943
0.125,1.25,1.625,0.08722186
0.125,1.25,1.75,0.13490534
0.125,1.25,1.875,0.5314462
0.125,1.375,0.0,0.44062877
0.125,1.375,0.125,0.2109673
0.125,1.375,0.25,0.08878374
0.125,1.375,0.375,0.27004933
0.125,1.375,0.5,0.41808128
0.125,1.375,0.625,0.3907559
0.125,1.375,0.75,0.14173222
0.125,1.375,0.875,0.24807286
0.125,1.375,1.0,0.23537087
0.125,1.375,1.125,0.1556015
0.125,1.375,1.25,0.2478404
0.125,1.375,1.375,0.32688713
0.125,1.375,1.5,0.1423564
0.125,1.375,1.625,0.058018923
0.125,1.375,1.75,0.08195639
0.125,1.375,1.875,0.10307121
0.125,1.5,0.0,0.1469109
0.125,1.5,0.125,0.19295669
0.125,1.5,0.25,0.13868761
0.125,1.5,0.375,0.38158917
0.125,1.5,0.5,0.48388028
0.125,1.5,0.625,0.16426063
0.125,1.5,0.75,0.26583743
0.125,1.5,0.875,0.14072013
0.125,1.5,1.0,0.47105074
0.125,1.5,1.125,0.34455037
0.125,1.5,1.25,0.26821256
0.125,1.5,1.375,0.25199723
0.125,1.5,1.5,0.29998899
0.125,1.5,1.625,0.12698746
0.125,1.5,1.75,0.12020588
0.125,1.5,1.875,0.090820074
0.125,1.625,0.0,0.14799881
0.125,1.625,0.125,0.22514415
0.125,1.625,0.25,0.56899
0.125,1.625,0.375,0.81513476
0.125,1.625,0.5,0.5482998
0.125,1.625,0.625,0.14503789
0.125,1.625,0.75,0.36939383
0.125,1.625,0.875,0.3930812
0.125,1.625,1.0,0.38859153
0.125,1.625,1.125,0.28373146
0.125,1.625,1.25,0.28328323
0.125,1.625,1.375,0.21760035
0.125,1.625,1.5,0.12757945
0.125,1.625,1.625,0.18404603
0.125,1.625,1.75,0.1757195
